@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.46043,0.458994,0.339902,GALAXY,-0.207377
1.058446,0.248345,-0.164894,GALAXY,-0.147202
0.666246,1.157742,0.913402,GALAXY,0.293868
0.136228,1.330404,1.400646,QSO,2.883893
0.191751,1.289675,1.580238,QSO,4.420948
0.872146,-0.011929,-0.426476,GALAXY,-0.172396
0.556142,-0.406571,-0.716503,GALAXY,-0.195668
1.077263,0.747859,0.467614,GALAXY,-0.036253
0.650455,0.048452,-0.255942,GALAXY,-0.263458
-0.050361,-0.051978,-0.106367,GALAXY,-0.190773
0.683556,0.619944,0.809756,QSO,7.220663
1.081241,1.41504,1.452705,STAR,-0.367687
1.171444,0.955171,0.660557,GALAXY,-0.096427
0.915337,1.762002,1.964646,QSO,1.316646
0.619246,0.52909,0.349948,GALAXY,0.017817
0.844699,0.733032,0.568266,GALAXY,-0.167683
1.167936,2.091362,1.754981,GALAXY,0.975009
-1.429535,-1.311419,-0.489908,STAR,-0.368212
0.567967,0.276947,0.010104,GALAXY,-0.116552
-0.097288,-1.143061,-1.559541,STAR,-0.369144
-1.76109,-1.401635,-1.10769,STAR,-0.368074
0.845976,0.824449,0.706401,GALAXY,-0.014642
-1.922534,-1.525235,-1.25638,GALAXY,-0.28969
0.266813,-0.272086,-0.47135,GALAXY,-0.129939
0.570016,-0.620663,-1.032356,GALAXY,-0.123918
1.147612,0.085971,-0.446898,GALAXY,-0.065512
-1.036624,-1.598062,-1.633858,STAR,-0.370315
0.403473,0.757946,0.942223,STAR,-0.366864
-0.4601,-0.566542,-0.481086,STAR,-0.367613
0.314922,0.316708,0.285122,GALAXY,-0.20025
0.567654,1.244185,1.597186,QSO,5.707376
1.146552,0.328772,-0.124877,GALAXY,-0.125089
1.0259,0.106857,-0.325052,GALAXY,-0.113862
-2.712986,-0.856693,0.129455,STAR,-0.367727
0.804943,1.845893,1.994484,QSO,1.996805
1.050828,0.692994,0.624957,STAR,-0.368253
-4.064688,-3.517063,-2.421797,STAR,-0.366965
1.161174,1.289654,1.246288,STAR,-0.367154
0.013069,0.033636,-0.174356,GALAXY,-0.034541
-0.65221,-0.552768,-0.509709,GALAXY,-0.248171
-0.06356,-0.733943,-0.889946,STAR,-0.367543
-1.801954,-2.337965,-2.335645,STAR,-0.368599
0.526416,-0.237076,-0.585768,GALAXY,-0.152249
-0.01374,0.068413,0.124973,GALAXY,-0.308434
-1.148223,-0.676995,-0.475079,GALAXY,-0.300514
-2.13152,-1.94767,-1.714352,STAR,-0.367402
0.492061,0.819241,0.93244,STAR,-0.367138
0.544124,0.829593,0.845252,GALAXY,-0.174837
0.0207,-0.27214,-0.466454,GALAXY,-0.206142
1.153374,1.259288,0.902574,GALAXY,0.156571
0.700794,0.960708,0.89651,GALAXY,0.009743
0.442192,0.32418,0.297296,STAR,-0.367611
-0.003831,-0.574057,-0.912901,GALAXY,-0.142641
0.389454,1.702216,1.967876,QSO,4.49742
0.166931,1.02279,1.42024,QSO,1.428198
0.855222,1.70871,1.946484,QSO,3.661067
-0.265555,-0.164439,-0.073224,STAR,-0.367998
0.939169,0.658908,0.595806,STAR,-0.367284
0.739295,0.981774,1.037216,STAR,-0.367794
-0.870792,0.127869,0.568172,STAR,-0.368135
1.083544,0.340942,-0.186031,GALAXY,-0.000146
0.77095,0.804042,0.681431,GALAXY,-0.12057
-0.42994,-0.975384,-1.147339,GALAXY,-0.235423
-0.861076,-0.536623,-0.752131,GALAXY,-0.249935
1.108122,0.446941,0.112724,GALAXY,-0.270201
0.363079,0.698872,0.912997,STAR,-0.36651
0.663558,0.127954,-0.224466,GALAXY,-0.039611
0.670405,-0.196155,-0.551561,GALAXY,-0.13483
